Default Order,OfficerName,AbilityType,OfficerSynergy,AbilityModifier,AbilityConditions,AbilityTrigger,AbilityTarget,AbilityOperation,AbilityAttributes,AbilityDescription,AbilityDescriptionShort,AbilityChances,AbilityValues,AbilityHasChance,AbilityShowPercentage,Tag_PvPinSpace,Tag_PvPinSpace_Reason,Tag_PvPStation,Tag_PvPStation_Reason,Tag_NonArmadaHostiles,Tag_NonArmadaHostiles_Reason,Tag_WaveDefense,Tag_WaveDefense_Reason,Tag_MissionBosses,Tag_MissionBosses_Reason,Tag_QTrial,Tag_QTrial_Reason,Tag_SoloArmadas,Tag_SoloArmadas_Reason,Tag_GroupArmadas,Tag_GroupArmadas_Reason,Tag_Assaults,Tag_Assaults_Reason,Tag_InvadingEntities,Tag_InvadingEntities_Reason,Tag_OutpostArmadas,Tag_OutpostArmadas_Reason,Tag_OutpostRetaliators,Tag_OutpostRetaliators_Reason,Tag_Loot,Tag_Loot_Reason,Tag_Utility,Tag_Utility_Reason,AbilityID,OfficerId,OfficerArt,OfficerRarity,Requires_StateSelf,Requires_StateTarget,Conditional_Reason,AbilityChance_1,AbilityChance_2,AbilityChance_3,AbilityChance_4,AbilityChance_5,AbilityValue_1,AbilityValue_2,AbilityValue_3,AbilityValue_4,AbilityValue_5,Column 1,Column 2
148,KATI,OA,KHAN'S CREW,CritDamage,"TargetNotASB, EnemySentinel",CombatStart,SelfShip,Add,,"When attacking a Station, Kati increases the Critical Hit Damage by X.",+X Critical Hit Damage in Station Combat,"1.0, 1.0, 1.0, 1.0, 1.0","0.15, 0.2, 0.25, 0.3, 0.4",FALSE,FALSE,➖,EnemySentinel,✅,,➖,EnemySentinel,➖,EnemySentinel,➖,EnemySentinel,➖,EnemySentinel,➖,EnemySentinel,➖,EnemySentinel,➖,TargetNotASB,➖,EnemySentinel,➖,EnemySentinel,➖,EnemySentinel,➖,CritDamage,➖,CritDamage,905884666,1602389738,65,Uncommon,,,,1,1,1,1,1,0.15,0.2,0.25,0.3,0.4,,
149,NAVI,CM,KHAN'S CREW,CritDamage,SelfHasHullBreach,RoundStart,SelfShip,Add,num_rounds=1,"At the start of each round, if the ship has a Hull Breach, Navi increases the Critical Hit damage bonus by X for this round.",+X to Critical Hit Damage when the ship has a Hull Breach.,"1.0, 1.0, 1.0","0.2, 0.1, 0.2",FALSE,TRUE,✴️,SelfHasHullBreach,✴️,SelfHasHullBreach,✴️,SelfHasHullBreach,✴️,SelfHasHullBreach,✴️,SelfHasHullBreach,✴️,SelfHasHullBreach,✴️,SelfHasHullBreach,✴️,SelfHasHullBreach,✴️,SelfHasHullBreach,✴️,SelfHasHullBreach,✴️,SelfHasHullBreach,✴️,SelfHasHullBreach,➖,CritDamage,➖,CritDamage,1639285460,3019272402,120,Rare,Hull Breach,,SelfHasHullBreach,1,1,1,,,0.2,0.1,0.2,,,,
150,NAVI,OA,KHAN'S CREW,AllDefenses,SelfHasHullBreach,RoundStart,SelfShip,MultiplyAdd,num_rounds=1,"At the start of each round, if the ship has a Hull Breach, Navi increases the Armor, Shield Deflection and Dodge of the ship by X for this round.","+X to Armor, Shield Deflection and Dodge when the ship has a Hull Breach","1.0, 1.0, 1.0, 1.0, 1.0","0.5, 0.65, 0.85, 1.1, 1.4",FALSE,TRUE,✴️,SelfHasHullBreach,✴️,SelfHasHullBreach,✴️,SelfHasHullBreach,✴️,SelfHasHullBreach,✴️,SelfHasHullBreach,✴️,SelfHasHullBreach,✴️,SelfHasHullBreach,✴️,SelfHasHullBreach,✴️,SelfHasHullBreach,✴️,SelfHasHullBreach,✴️,SelfHasHullBreach,✴️,SelfHasHullBreach,➖,AllDefenses,➖,AllDefenses,2724936958,3019272402,120,Rare,Hull Breach,,SelfHasHullBreach,1,1,1,1,1,0.5,0.65,0.85,1.1,1.4,,
151,PAN,CM,KHAN'S CREW,ImpulseSpeed,,ShipLaunched,SelfShip,MultiplyAdd,,Pan increases the Impulse Speed of the ship by X.,+X to Impulse Speed,"1.0, 1.0, 1.0","0.2, 0.05, 0.15",FALSE,TRUE,➖,ImpulseSpeed,➖,ImpulseSpeed,➖,ImpulseSpeed,➖,ImpulseSpeed,➖,ImpulseSpeed,➖,ImpulseSpeed,➖,ImpulseSpeed,➖,ImpulseSpeed,➖,ImpulseSpeed,➖,ImpulseSpeed,➖,ImpulseSpeed,➖,ImpulseSpeed,➖,ImpulseSpeed,✅,,1080113780,43410162,121,Rare,,,,1,1,1,,,0.2,0.05,0.15,,,,
152,PAN,OA,KHAN'S CREW,AddState,,RoundStart,SelfShip,Set,"num_rounds=3, state=4","At the start of each round, Pan has a X chance of applying a Hull Breach to his own ship for 3 rounds.",X chance to apply a Hull Breach on your own ship for three rounds,"0.25, 0.35, 0.45, 0.55, 0.65","1.0, 1.0, 1.0, 1.0, 1.0",TRUE,TRUE,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,➖,AddState,➖,AddState,2657236509,43410162,121,Rare,,,,0.25,0.35,0.45,0.55,0.65,1,1,1,1,1,,
153,RIMA,CM,KHAN'S CREW,AllDamage,SelfHasHullBreach,RoundStart,SelfShip,MultiplyAdd,num_rounds=1,"At the start of each round, if the ship has a Hull Breach, Rima increases the Damage of the ship by X for this round.",+X to Damage when the ship has a Hull Breach,"1.0, 1.0, 1.0","0.4, 0.1, 0.2",FALSE,TRUE,✴️,SelfHasHullBreach,✴️,SelfHasHullBreach,✴️,SelfHasHullBreach,✴️,SelfHasHullBreach,✴️,SelfHasHullBreach,✴️,SelfHasHullBreach,✴️,SelfHasHullBreach,✴️,SelfHasHullBreach,✴️,SelfHasHullBreach,✴️,SelfHasHullBreach,✴️,SelfHasHullBreach,✴️,SelfHasHullBreach,➖,AllDamage,➖,AllDamage,2804399891,1349602017,122,Rare,Hull Breach,,SelfHasHullBreach,1,1,1,,,0.4,0.1,0.2,,,,
154,RIMA,OA,KHAN'S CREW,CritChance,SelfHasHullBreach,RoundStart,SelfShip,Add,num_rounds=1,"At the start of each round, if the ship has a Hull Breach, Rima adds X to Critical Hit chances",+X to Critical Hit chances when the ship has a Hull Breach,"1.0, 1.0, 1.0, 1.0, 1.0","0.05, 0.08, 0.1, 0.15, 0.2",FALSE,TRUE,✴️,SelfHasHullBreach,✴️,SelfHasHullBreach,✴️,SelfHasHullBreach,✴️,SelfHasHullBreach,✴️,SelfHasHullBreach,✴️,SelfHasHullBreach,✴️,SelfHasHullBreach,✴️,SelfHasHullBreach,✴️,SelfHasHullBreach,✴️,SelfHasHullBreach,✴️,SelfHasHullBreach,✴️,SelfHasHullBreach,➖,CritChance,➖,CritChance,1975058516,1349602017,122,Rare,Hull Breach,,SelfHasHullBreach,1,1,1,1,1,0.05,0.08,0.1,0.15,0.2,,
155,MUDD,CM,MUDD'S COMPANY,AllDamage,"TargetIsArmada, TargetMaxLevel",HitTaken,EnemyShip,MultiplySub,"max_level=70, num_rounds=1","When the ship takes damage from an Armada Target weapon attack, Harry Mudd decreases the Weapon Damage of that Armada Target by X for this round. Works against Hostiles of level 70 and under. -- (Weapons with multiple shots will only trigger this maneuver once per attack.)",-X to Armada Targets Weapon Damage when taking damage.,"1.0, 1.0, 1.0","0.1, 0.03, 0.05",FALSE,TRUE,➖,TargetIsArmada,➖,TargetIsArmada,➖,TargetIsArmada,➖,TargetIsArmada,➖,TargetIsArmada,➖,TargetIsArmada,✴️,target level 70 or under,✴️,target level 70 or under,➖,TargetIsArmada,➖,TargetIsArmada,➖,TargetIsArmada,➖,TargetIsArmada,➖,AllDamage,➖,AllDamage,2953367854,634330627,123,Epic,,,target level 70 or under,1,1,1,,,0.1,0.03,0.05,,,,
156,MUDD,OA,MUDD'S COMPANY,AllDamage,TargetMaxLevel,ShieldsDepleted,SelfShip,MultiplyAdd,max_level=70,"When the ship's Shield Health is depleted, Harry Mudd increases the Weapon Damage of the ship by X for the rest of the combat. Works against Hostiles of level 70 and under.",+X to Damage when the shields are depleted.,"1.0, 1.0, 1.0, 1.0, 1.0","2.0, 2.5, 3.0, 3.5, 4.0",FALSE,TRUE,✴️,target level 70 or under,✴️,target level 70 or under,✴️,target level 70 or under,✴️,target level 70 or under,✴️,target level 70 or under,✴️,target level 70 or under,✴️,target level 70 or under,✴️,target level 70 or under,✴️,target level 70 or under,✴️,target level 70 or under,✴️,target level 70 or under,✴️,target level 70 or under,➖,AllDamage,➖,AllDamage,1501211612,634330627,123,Epic,,,target level 70 or under,1,1,1,1,1,2,2.5,3,3.5,4,,
157,EURYDICE,CM,MUDD'S COMPANY,AllDamage,TargetMaxLevel,ShieldDamageTaken,SelfShip,MultiplyAdd,max_level=70,"When the ship loses Shield Health from a weapon attack, Eurydice increases the damage of the weapons by X (cumulative). Works against Hostiles of level 70 and under. -- (Weapons with multiple shots will only trigger this maneuver once per attack.)",+X to Damage when taking SHP damage,"1.0, 1.0, 1.0","0.1, 0.02, 0.05",FALSE,TRUE,✴️,target level 70 or under,✴️,target level 70 or under,✴️,target level 70 or under,✴️,target level 70 or under,✴️,target level 70 or under,✴️,target level 70 or under,✴️,target level 70 or under,✴️,target level 70 or under,✴️,target level 70 or under,✴️,target level 70 or under,✴️,target level 70 or under,✴️,target level 70 or under,➖,AllDamage,➖,AllDamage,3789527814,949329475,124,Epic,,,target level 70 or under,1,1,1,,,0.1,0.02,0.05,,,,
158,EURYDICE,OA,MUDD'S COMPANY,ShieldHPRepair,TargetMaxLevel,ShieldsDepleted,SelfShip,MultiplyAdd,max_level=70,"When the shields are depleted, Eurydice has a X chance to heal the Shield Health by 5%. Works against Hostiles of level 70 and under.",X chance to heal 5% shields when they're depleted.,"0.35, 0.45, 0.55, 0.65, 0.75","0.05, 0.05, 0.05, 0.05, 0.05",TRUE,TRUE,✴️,target level 70 or under,✴️,target level 70 or under,✴️,target level 70 or under,✴️,target level 70 or under,✴️,target level 70 or under,✴️,target level 70 or under,✴️,target level 70 or under,✴️,target level 70 or under,✴️,target level 70 or under,✴️,target level 70 or under,✴️,target level 70 or under,✴️,target level 70 or under,➖,ShieldHPRepair,➖,ShieldHPRepair,1608351478,949329475,124,Epic,,,target level 70 or under,0.35,0.45,0.55,0.65,0.75,0.05,0.05,0.05,0.05,0.05,,
159,SESHA,CM,MUDD'S COMPANY,CritChance,EnemyHullFaction,CombatStart,EnemyShip,Sub,faction_id=1750120904,"If the opponent is an Eclipse hostile (including Armada Targets), Sesha has a X chance to reduce the opponent's Critical Hit Chance by 15%",X chance to decrease Eclipse's hostile Critical Hit Chance by 15%,"0.2, 0.1, 0.2","0.15, 0.0, 0.0",TRUE,TRUE,➖,EnemyHullFaction,➖,EnemyHullFaction,✴️,Eclipse,✴️,Eclipse,✴️,Eclipse,✴️,Eclipse,✴️,Eclipse,✴️,Eclipse,✴️,Eclipse,➖,EnemyHullFaction,➖,EnemyHullFaction,➖,EnemyHullFaction,➖,CritChance,➖,CritChance,196211263,2651130337,126,Common,,,Eclipse,0.2,0.1,0.2,,,0.15,0,0,,,,
160,SESHA,OA,MUDD'S COMPANY,CritDamage,EnemyHullFaction,CombatStart,SelfShip,Add,"faction_id=1750120904, num_rounds=3","For the first three rounds of combat, when fighting Eclipse hostiles (including Armada Targets), Sesha increases the Critical Damage Bonus of the ship by X.",+X to Critical Hit Damage against Eclipse hostiles,"1.0, 1.0, 1.0, 1.0, 1.0","0.2, 0.3, 0.5, 0.7, 0.9",FALSE,TRUE,➖,EnemyHullFaction,➖,EnemyHullFaction,✴️,Eclipse,✴️,Eclipse,✴️,Eclipse,✴️,Eclipse,✴️,Eclipse,✴️,Eclipse,✴️,Eclipse,➖,EnemyHullFaction,➖,EnemyHullFaction,➖,EnemyHullFaction,➖,CritDamage,➖,CritDamage,4129104008,2651130337,126,Common,,,Eclipse,1,1,1,1,1,0.2,0.3,0.5,0.7,0.9,,
161,RO MUDD,CM,MUDD'S COMPANY,OfficerStatAll,,ShipLaunched,SelfCaptain,MultiplyAdd,,Ro Mudd increases her stats by X when she is the captain.,+X to the Captain's Stats,"1.0, 1.0, 1.0","0.5, 0.25, 0.5",FALSE,TRUE,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,➖,OfficerStatAll,➖,OfficerStatAll,1604629509,1330179266,125,Rare,,,,1,1,1,,,0.5,0.25,0.5,,,,
162,RO MUDD,OA,MUDD'S COMPANY,AllDamage,,CombatStart,SelfShip,MultiplyBaseAdd,officer_stat=1,"At the start of combat, Ro Mudd has a X chance of increasing the Damage dealt by the ship by 300% of the total Attack of all officers on the ship for the whole combat.",X chance to increase damage by 300% of Officers Attack,"0.2, 0.3, 0.4, 0.5, 0.6","3.0, 3.0, 3.0, 3.0, 3.0",TRUE,TRUE,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,➖,AllDamage,➖,AllDamage,3958845992,1330179266,125,Rare,,,,0.2,0.3,0.4,0.5,0.6,3,3,3,3,3,,
163,GOON,CM,MUDD'S COMPANY,CritChance,EnemyHostile,CombatStart,SelfShip,Add,num_rounds=1,"When fighting Hostiles, Goon increases the chances of dealing a Critical Hit by  X for the first round of combat.",+X to Critical Hit Chance against hostiles for the first round,"1.0, 1.0, 1.0","0.2, 0.15, 0.2",FALSE,TRUE,➖,EnemyHostile,➖,EnemyHostile,✅,,✅,,➖,EnemyHostile,✅,,✅,,✅,,➖,EnemyHostile,✅,,➖,EnemyHostile,➖,EnemyHostile,➖,CritChance,➖,CritChance,3587777576,1083140166,127,Uncommon,,,,1,1,1,,,0.2,0.15,0.2,,,,
164,GOON,OA,MUDD'S COMPANY,CombatXPReward,,ShipLaunched,SelfShip,MultiplyAdd,,Goon increases the Ship XP gained by the ship from fighting by X.,+X to Ship XP gained while fighting,"1.0, 1.0, 1.0, 1.0, 1.0","0.15, 0.2, 0.25, 0.35, 0.5",FALSE,TRUE,➖,CombatXPReward,➖,CombatXPReward,➖,CombatXPReward,➖,CombatXPReward,➖,CombatXPReward,➖,CombatXPReward,➖,CombatXPReward,➖,CombatXPReward,➖,CombatXPReward,➖,CombatXPReward,➖,CombatXPReward,➖,CombatXPReward,➖,CombatXPReward,✅,,2608766342,1083140166,127,Uncommon,,,,1,1,1,1,1,0.15,0.2,0.25,0.35,0.5,,
165,AHVIX,CM,MUDD'S COMPANY,CritChance,EnemyHullFaction,CombatStart,SelfShip,Add,"faction_id=1750120904, num_rounds=3","When fighting Eclipse hostiles (including Armada Targets), for the first three rounds of combat, Ahvix increases the chances of a Critical Hit by X",+X to Critical Hit Chance for the first three rounds against Eclipse hostiles.,"1.0, 1.0, 1.0","0.2, 0.05, 0.1",FALSE,TRUE,➖,EnemyHullFaction,➖,EnemyHullFaction,✴️,Eclipse,✴️,Eclipse,✴️,Eclipse,✴️,Eclipse,✴️,Eclipse,✴️,Eclipse,✴️,Eclipse,➖,EnemyHullFaction,➖,EnemyHullFaction,➖,EnemyHullFaction,➖,CritChance,➖,CritChance,1074437376,229898163,129,Rare,,,Eclipse,1,1,1,,,0.2,0.05,0.1,,,,
166,AHVIX,OA,MUDD'S COMPANY,AllDefenses,EnemyHullFaction,CombatStart,EnemyShip,MultiplySub,faction_id=1750120904,"When fighting Eclipse hostiles (including Armadas), Ahvix has a X chance to decrease the Shield Deflection, Armor and Dodge of the opponent by 40% .",X chance to reduce Eclipse hostiles's mitigation by 40%,"0.25, 0.3, 0.35, 0.4, 0.5","0.4, 0.4, 0.4, 0.4, 0.4",TRUE,TRUE,➖,EnemyHullFaction,➖,EnemyHullFaction,✴️,Eclipse,✴️,Eclipse,✴️,Eclipse,✴️,Eclipse,✴️,Eclipse,✴️,Eclipse,✴️,Eclipse,➖,EnemyHullFaction,➖,EnemyHullFaction,➖,EnemyHullFaction,➖,AllDefenses,➖,AllDefenses,3792739416,229898163,129,Rare,,,Eclipse,0.25,0.3,0.35,0.4,0.5,0.4,0.4,0.4,0.4,0.4,,
167,TIZA,CM,MUDD'S COMPANY,ShieldMitigation,EnemyHullFaction,CombatStart,EnemyShip,MultiplySub,"faction_id=1750120904, num_rounds=3","When fighting Eclipse hostiles (including Armada Targets), for the first three rounds of combat, Tiza decreases the Shield Mitigation of the opponent by X",-X to Eclipse hostile's Shield Mitigation for the first round,"1.0, 1.0, 1.0","0.04, 0.01, 0.02",FALSE,TRUE,➖,EnemyHullFaction,➖,EnemyHullFaction,✴️,Eclipse,✴️,Eclipse,✴️,Eclipse,✴️,Eclipse,✴️,Eclipse,✴️,Eclipse,✴️,Eclipse,➖,EnemyHullFaction,➖,EnemyHullFaction,➖,EnemyHullFaction,➖,ShieldMitigation,➖,ShieldMitigation,254956305,3106264505,128,Common,,,Eclipse,1,1,1,,,0.04,0.01,0.02,,,,
168,TIZA,OA,MUDD'S COMPANY,AllDefenses,EnemyHullFaction,CombatStart,SelfShip,MultiplyAdd,faction_id=1750120904,"When fighting Eclipse hostiles (including Armadas), Tiza has a X chance to increase Shield Deflection, Armor and Dodge by 100% for the whole combat.",X chance to increase mitigation by 100% against Eclipse hostiles,"0.35, 0.45, 0.55, 0.65, 0.75","1.0, 1.0, 1.0, 1.0, 1.0",TRUE,TRUE,➖,EnemyHullFaction,➖,EnemyHullFaction,✴️,Eclipse,✴️,Eclipse,✴️,Eclipse,✴️,Eclipse,✴️,Eclipse,✴️,Eclipse,✴️,Eclipse,➖,EnemyHullFaction,➖,EnemyHullFaction,➖,EnemyHullFaction,➖,AllDefenses,➖,AllDefenses,780595425,3106264505,128,Common,,,Eclipse,0.35,0.45,0.55,0.65,0.75,1,1,1,1,1,,
169,HARRY MUDD,CM,MUDD'S COMPANY,ShieldMitigation,TargetMaxLevel,CombatStart,SelfShip,Add,"max_level=70, num_rounds=2",Harcourt Fenton Mudd has a X chance to raise shield mitigation to 98% for the first two rounds of combat. Works against Hostiles of level 70 and under.,X chance to have 98% shield mitigation for the first two rounds of combat,"0.4, 0.1, 0.2","0.18, 0.0, 0.0",TRUE,TRUE,✴️,target level 70 or under,✴️,target level 70 or under,✴️,target level 70 or under,✴️,target level 70 or under,✴️,target level 70 or under,✴️,target level 70 or under,✴️,target level 70 or under,✴️,target level 70 or under,✴️,target level 70 or under,✴️,target level 70 or under,✴️,target level 70 or under,✴️,target level 70 or under,➖,ShieldMitigation,➖,ShieldMitigation,2186472721,677303054,130,Epic,,,target level 70 or under,0.4,0.1,0.2,,,0.18,0,0,,,,
170,HARRY MUDD,OA,MUDD'S COMPANY,ShotsPerAttack,TargetMaxLevel,CombatStart,SelfShip,MultiplyAdd,"max_level=70, num_rounds=1",Harcourt Fenton Mudd has a X chance to double the shots of all the weapons of the ship for the first round of combat. Works against Hostiles of level 70 and under.,X chance to double shots for the first round,"0.2, 0.3, 0.4, 0.5, 0.6","1.0, 1.0, 1.0, 1.0, 1.0",TRUE,TRUE,✴️,target level 70 or under,✴️,target level 70 or under,✴️,target level 70 or under,✴️,target level 70 or under,✴️,target level 70 or under,✴️,target level 70 or under,✴️,target level 70 or under,✴️,target level 70 or under,✴️,target level 70 or under,✴️,target level 70 or under,✴️,target level 70 or under,✴️,target level 70 or under,➖,ShotsPerAttack,➖,ShotsPerAttack,143246507,677303054,130,Epic,,,target level 70 or under,0.2,0.3,0.4,0.5,0.6,1,1,1,1,1,,
171,KRAS,CM,GLORY IN THE KILL,CptManeuverEffect,EnemyPlayer,CombatStart,EnemyCaptain,MultiplySub,,Kras decreases the effectiveness of the opponent's Captain's Maneuver by X.,-X to opponent's Captain's Maneuver effectiveness,"1.0, 1.0, 1.0","0.2, 0.1, 0.15",FALSE,TRUE,✅,,✅,,➖,EnemyPlayer,➖,EnemyPlayer,➖,EnemyPlayer,➖,EnemyPlayer,➖,EnemyPlayer,➖,EnemyPlayer,➖,EnemyPlayer,➖,EnemyPlayer,➖,EnemyPlayer,➖,EnemyPlayer,➖,CptManeuverEffect,➖,CptManeuverEffect,3721061052,2847497836,76,Epic,,,,1,1,1,,,0.2,0.1,0.15,,,,
172,KRAS,OA,GLORY IN THE KILL,OfficerStatAll,EnemyPlayer,CombatStart,EnemyBridge,MultiplySub,,"Kras decreases the Attack, Defense and Health of all the Officers on the Bridge of the opponent's ship by X.",-X To all the stats of the opponent's Bridge Officers,"1.0, 1.0, 1.0, 1.0, 1.0","0.2, 0.3, 0.4, 0.5, 0.6",FALSE,TRUE,✅,,✅,,➖,EnemyPlayer,➖,EnemyPlayer,➖,EnemyPlayer,➖,EnemyPlayer,➖,EnemyPlayer,➖,EnemyPlayer,➖,EnemyPlayer,➖,EnemyPlayer,➖,EnemyPlayer,➖,EnemyPlayer,➖,OfficerStatAll,➖,OfficerStatAll,3322010576,2847497836,76,Epic,,,,1,1,1,1,1,0.2,0.3,0.4,0.5,0.6,,
173,KLAA,CM,GLORY IN THE KILL,ImpulseSpeed,,ShipLaunched,SelfShip,MultiplyAdd,,Klaa increases the Impulse Speed of the ship by X.,+X to Impulse Speed,"1.0, 1.0, 1.0","0.25, 0.03, 0.05",FALSE,TRUE,➖,ImpulseSpeed,➖,ImpulseSpeed,➖,ImpulseSpeed,➖,ImpulseSpeed,➖,ImpulseSpeed,➖,ImpulseSpeed,➖,ImpulseSpeed,➖,ImpulseSpeed,➖,ImpulseSpeed,➖,ImpulseSpeed,➖,ImpulseSpeed,➖,ImpulseSpeed,➖,ImpulseSpeed,✅,,2580371455,2601201375,77,Uncommon,,,,1,1,1,,,0.25,0.03,0.05,,,,
174,KLAA,OA,GLORY IN THE KILL,CritDamage,,ShipLaunched,SelfShip,Add,,Klaa increases the Critical Hit Damage of the ship by X.,+X to Critical Hit Damage,"1.0, 1.0, 1.0, 1.0, 1.0","0.08, 0.1, 0.13, 0.17, 0.2",FALSE,TRUE,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,➖,CritDamage,➖,CritDamage,1433248203,2601201375,77,Uncommon,,,,1,1,1,1,1,0.08,0.1,0.13,0.17,0.2,,
175,VIXIS,CM,GLORY IN THE KILL,AllReloadSpeed,"TargetNotArmada, TargetNotASB",RoundStart,EnemyShip,Add,num_rounds=2,"At the beginning of each round, Vixis has a X chance of delaying the opponent Weapon Fire by one round.",X chance to delay opponent's Weapons each round for 1 round,"0.06, 0.01, 0.02","1.0, 0.0, 0.0",TRUE,TRUE,✅,,✅,,✅,,✅,,✅,,✅,,➖,TargetNotArmada,➖,TargetNotArmada,➖,TargetNotASB,➖,TargetNotArmada,✅,,✅,,➖,AllReloadSpeed,➖,AllReloadSpeed,3053788649,2517597941,78,Uncommon,,,,0.06,0.01,0.02,,,1,0,0,,,,
176,VIXIS,OA,GLORY IN THE KILL,AllDamage,"EnemyPlayer, ModuleEnergy",CombatStart,EnemyShip,MultiplySub,,Vixis decreases the Energy Weapon Damage of opponent players by X.,-X less Energy Damage from player enemies,"1.0, 1.0, 1.0, 1.0, 1.0","0.1, 0.12, 0.15, 0.2, 0.3",FALSE,TRUE,✴️,ModuleEnergy,✴️,ModuleEnergy,➖,"EnemyPlayer, ModuleEnergy",➖,"EnemyPlayer, ModuleEnergy",➖,"EnemyPlayer, ModuleEnergy",➖,"EnemyPlayer, ModuleEnergy",➖,"EnemyPlayer, ModuleEnergy",➖,"EnemyPlayer, ModuleEnergy",➖,"EnemyPlayer, ModuleEnergy",➖,"EnemyPlayer, ModuleEnergy",➖,"EnemyPlayer, ModuleEnergy",➖,"EnemyPlayer, ModuleEnergy",➖,AllDamage,➖,AllDamage,3174366498,2517597941,78,Uncommon,,,ModuleEnergy,1,1,1,1,1,0.1,0.12,0.15,0.2,0.3,,
177,CADET KIRK,CM,ANOTHER TIME,OfficerStatAll,,ShipLaunched,SelfBridge,MultiplyAdd,,"Cadet Kirk increases the Attack, Defense and Health of all Officers on the Bridge by X.",+X to all Officer stats on the Bridge,"1.0, 1.0, 1.0","0.08, 0.03, 0.06",FALSE,TRUE,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,➖,OfficerStatAll,➖,OfficerStatAll,2369873168,1525867544,83,Common,,,,1,1,1,,,0.08,0.03,0.06,,,,
178,CADET KIRK,OA,ANOTHER TIME,AllDamage,,ShipLaunched,SelfShip,MultiplyAdd,,Kirk increases the Weapon damage of the ship by X.,+X to Weapon Damage,"1.0, 1.0, 1.0, 1.0, 1.0","0.05, 0.08, 0.12, 0.15, 0.2",FALSE,TRUE,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,➖,AllDamage,➖,AllDamage,3200446473,1525867544,83,Common,,,,1,1,1,1,1,0.05,0.08,0.12,0.15,0.2,,
179,INSTR. SPOCK,CM,ANOTHER TIME,AllDamage,,ShipLaunched,SelfShip,MultiplyAdd,,Instructor Spock increases the Weapon Damage of the ship by X.,+X to Damage,"1.0, 1.0, 1.0","0.05, 0.02, 0.05",FALSE,TRUE,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,➖,AllDamage,➖,AllDamage,1862576044,1622062016,84,Common,,,,1,1,1,,,0.05,0.02,0.05,,,,
180,INSTR. SPOCK,OA,ANOTHER TIME,AllDefenses,,ShipLaunched,SelfShip,MultiplyAdd,,"Instructor Spock increases the Shield Deflection, Armor and Dodge of the ship by X.","+X to Dodge, Shield Deflection and Armor","1.0, 1.0, 1.0, 1.0, 1.0","0.05, 0.08, 0.12, 0.15, 0.2",FALSE,TRUE,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,➖,AllDefenses,➖,AllDefenses,2372470621,1622062016,84,Common,,,,1,1,1,1,1,0.05,0.08,0.12,0.15,0.2,,
181,CADET MCCOY,CM,ANOTHER TIME,OfficerStatHealth,,ShipLaunched,SelfBridge,MultiplyAdd,,Cadet McCoy increases the Health of all Officers on the ship by X.,+X to Officers Health on the ship,"1.0, 1.0, 1.0","0.1, 0.05, 0.1",FALSE,TRUE,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,➖,OfficerStatHealth,➖,OfficerStatHealth,779039619,1853520303,85,Common,,,,1,1,1,,,0.1,0.05,0.1,,,,
182,CADET MCCOY,OA,ANOTHER TIME,CptManeuverEffect,,CombatStart,SelfCaptain,MultiplyAdd,,"During combat, Cadet McCoy increases the effectiveness of the Captain Maneuver by X.",+X to the effectiveness of the Captain Maneuver,"1.0, 1.0, 1.0, 1.0, 1.0","0.04, 0.06, 0.08, 0.1, 0.12",FALSE,TRUE,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,➖,CptManeuverEffect,➖,CptManeuverEffect,4225330505,1853520303,85,Common,,,,1,1,1,1,1,0.04,0.06,0.08,0.1,0.12,,
183,CADET SCOTTY,CM,ANOTHER TIME,HullHPMax,,ShipLaunched,SelfShip,MultiplyAdd,,Cadet Scotty increases the Ship Hull Health by X.,+X to Hull Health,"1.0, 1.0, 1.0","0.1, 0.02, 0.05",FALSE,TRUE,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,➖,HullHPMax,➖,HullHPMax,3029156666,4150311506,86,Common,,,,1,1,1,,,0.1,0.02,0.05,,,,
